ID	Fixed.Calls	Duration	Mobile	International	Broadband	DurationHL	Cluster
C100300	510.094627	50479.55118	500.780837	34.524157	298.869899	High	1
C101000	10.116196	59.377621	495.140842	0	23.29899	Low	1
C101200	84.199944	2289.495153	262.592537	37.301682	0	Low	1
C102900	224.259303	15030.14018	178.527939	9.379507	0	High	1
C105000	213.628337	14261.82128	275.528219	0	2070.763827	High	1
C106300	310.912785	32189.36303	304.560135	0.92574	415.603392	High	1
C107400	273.737207	29414.86502	967.973814	25.883071	45.53426	High	1
C107500	235.961436	13079.56259	194.514121	28.123219	238.711823	High	1
C109500	100.536713	10618.58822	179.128385	20.256705	544.279921	High	1
C111500	254.760321	60253.01071	358.125703	13.618165	0	High	1
C112400	117.442747	6973.400228	208.79665	24.475631	0	Low	1
C113400	184.534297	23867.39413	148.372275	37.068316	2.716899	High	1
C113800	105.275219	5769.958429	248.12334	45.894799	0	Low	1
C115800	209.940622	12277.35258	569.655765	54.867983	20.295598	High	1
C117900	217.979073	21012.54583	208.197506	34.320694	0	High	1
C118600	125.514458	21834.50484	373.236655	0	387.895778	High	1
C119800	230.519804	30310.35001	254.076813	0	16.474999	High	1
C121700	111.57282	4254.217076	277.669219	0	0	Low	1
C122600	187.335062	15047.81439	430.686037	35.14355	0	High	1
C123400	97.335311	3043.587283	182.68439	63.119268	8.303571	Low	1
C123500	56.104627	2840.342908	248.730456	13.205955	0	Low	1
C125100	222.60813	23918.45156	504.127165	25.876446	4.873699	High	1
C125200	122.104853	5450.889131	240.731399	85.2044	11.869453	Low	1
C126200	147.644808	4890.430211	188.466728	53.594366	0	Low	1
C128200	224.931597	14120.50979	197.848842	68.2311	1644.232427	High	1
C130700	124.039907	21316.54729	249.003916	0	575.648584	High	1
C134900	173.241988	7789.629214	401.53209	32.031503	2.725391	Low	1
C136400	171.897292	7740.632932	258.580069	0	88.611633	Low	1
C136900	149.820053	9973.080906	338.363938	0	853.535613	High	1
C137700	316.616321	20280.81122	232.399853	4.431136	3646.359495	High	1
C138900	272.634824	19017.33466	190.171944	24.132894	270.434857	High	1
C139100	197.121881	13393.59879	169.447229	0	93.119688	High	1
C140400	92.131491	4883.271962	216.439571	0	1612.084653	Low	1
C144000	122.989352	7453.042779	283.345162	0	0	Low	1
C144800	191.290379	12279.92123	341.16016	85.262155	0	High	1
C146300	241.334462	20249.61618	153.495277	10.547606	65.890082	High	1
C146500	140.944541	10973.43996	181.715617	33.447189	0.51953	High	1
C146800	350.100741	41140.36217	433.847426	63.463126	1405.293151	High	1
C148500	63.18774	1060.284146	227.37905	53.186216	0	Low	1
C148700	185.402391	11495.07407	213.695654	38.596109	0	High	1
C149200	198.277706	14853.81176	279.08802	0	798.19645	High	1
C150000	218.761214	13008.1969	188.337982	19.528498	355.096189	High	1
C150300	130.073182	21191.58708	417.022349	0	97.998451	High	1
C150500	84.788971	3921.955008	238.099792	0	149.021715	Low	1
C151200	286.022321	53754.43403	366.226861	1.512101	61.880011	High	1
C153900	263.685521	12582.48258	301.765534	17.98164	0	High	1
C156100	179.320327	7073.377965	182.865302	21.545734	0	Low	1
C159100	37.42519	1616.90878	204.863747	21.910966	0	Low	1
C161900	212.802359	19137.54125	200.883036	17.258024	59.916793	High	1
C163100	70.138293	3821.860347	214.060124	7.734439	0	Low	1
C164100	88.609658	6208.205179	205.955096	17.348242	3.644619	Low	1
C165400	175.539069	8407.521017	258.938612	10.212746	0	Low	1
C166500	212.713084	18302.36933	140.124031	59.32467	0	High	1
C167800	66.494665	8773.395624	315.132626	0	267.790211	Low	1
C170100	236.865917	16093.89492	369.961936	9.80242	544.647933	High	1
C170800	122.664085	6574.528321	291.839748	40.678112	0.287561	Low	1
C172400	220.133838	20360.72158	284.814766	0	643.656153	High	1
C173000	191.591401	17833.82414	276.827236	7.610673	0	High	1
